# Constructed from biom file																																																																																																																										
#OTU ID	AF001	AF002	AF003	AF004	AF005	AF006	AF007	AF008	AF009	AF010	AF011	AF012	AF013	AF014	AF015	AF016	AF017	AF018	AF019	AF020	AF021	AF022	AF023	AF024	AF025	AF026	AF027	AF028	AF029	AF030	AF031	AF032	AF033	AF034	AF035	AF036	AF037	AF038	AF039	AF040	AF041	AF042	AF043	AF044	AF045	AF046	AF047	AF048	AF049	AF050	AF051	AF052	AF053	AF054	AF055	AF056	AF057	AF058	AF059	AF060	AF061	AF062	AF063	AF064	AF065	AF066	AF067	AF068	AF069	AF070	AF071	AF072	AF073	AF074	AF075	AF076	AF077	AF078	AF079	AF080	AF081	AF082	AF083	AF084	AF085	AF086	AF087	AF088	AF089	AF090	AF091	AF092	AF093	AF094	AF095	AF096	AF097	AF098	AF099	AF100	AF101	AF102	AF103	AF104	AF105	AF106	AF107	AF108	AF109	AF110	AF111	AF112	AF113	AF114	AF115	AF116	AF117	AF118	AF119	AF120	AF121	AF122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019951	0	0	0	0.0064882	0	0	0	0	0.0566734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leucobacter	0	0	0	0	0	0	0	0.00245115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03090455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Acaricomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria	0.00218525	0	0.0084923	0	0	0	0.02066265	0.0410023	0	0	0.0092697	0.00651505	0	0	0	0.02182085	0	0.01164755	0	0	0	0	0.0151981	0.11255415	0.0167614	0	0	0	0.00718635	0	0.00436615	0.00749975	0	0	0	0.02995335	0	0.00165095	0.00023855	0	0	0	0	0	0	0.01582965	0	0.0504393	0	0	0	0	0	0.004942	0	0	0	0	0	0	0	0.00405055	0.0042616	0	0	0	0	0	0	0	0	0.01632285	0	0	0.0112631	0	0.00687815	0	0	0	0	0.0021048	0	0.0074102	0	0.0091544	0	0	0.14259875	0	0	0	0	0	0	0.1260237	0	0	0.0278551	0	0	0	0	0.00532935	0.00142845	0	0	0	0	0	0	0.00392535	0	0	0	0.006257	0	0.03198075	0	0.0024606	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0.0382028	0	0.14417345	0	0.0213478	0	0.04214565	0.05034295	0	0	0.0236823	0.00114865	0	0	0	0.00702965	0	0.0252845	0.01496285	0.0006084	0	0.0172216	0.01710215	0.01094145	0.0980976	0.0113737	0.0396362	0.01331535	0.0566629	0.00822255	0.0006789	0.0507935	0.00303865	0	0	0.00814525	0	0.00713455	0.00091045	0.04504145	0	0.01337775	0	0.00608895	0.0751056	0.0157101	0.00861295	0.0431453	0.00324345	0	0.01003085	0.0089519	0	0.00758925	0	0	0	0	0	0	0	0.08544675	0.0464844	0	0	0	0	0	0	0.0606985	0.00073185	0.00091135	0	0	0.0156373	0	0	0	0	0	0.03899545	0.03164715	0.0236845	0	0.04517545	0.02876185	0	0	0	0.0281624	0	0	0	0	0.01966945	0	0.0058011	0.0015953	0.005115	0.0128382	0	0.00548175	0.0108345	0.01429165	0.0122981	0.0243324	0	0	0	0.006036	0	0.00882545	0	0	0	0.08216805	0	0.0638403	0	0	0	0.00072075
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0	0	0.05640375	0.00018645	0	0	0	0	0.0127624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00099975	0	0	0	0	0	0	0	0	0.00477045	0.0064237	0	0.0211886	0	0	0	0	0	0.04193585	0	0.0047779	0.0014423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028793	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0269354	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides	0	0	0.00399875	0	0.0063818	0	0	0	0	0	0	0.00802525	0	0	0	0	0	0	0	0	0	0	0	0.00077305	0.00451115	0	0	0.0054198	0.0033375	0	0.0246815	0	0	0	0	0	0	0	0.0002143	0	0	0.00264985	0	0	0.02360615	0	0	0.00571655	0	0	0.0145723	0	0.002566	0	0	0	0	0	0.0056305	0	0	0	0	0	0	0	0	0	0	0	0.0018914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03619725	0	0	0	0.01471985	0	0	0	0	0	0	0	0.0143246	0.0236911	0	0	0	0	0	0	0	0	0.01448865	0	0	0	0.00302255	0	0	0	0	0	0.0018577	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae|g__Promicromonosporaceae_unclassified	0	0	0.01707355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.02192415	0	0	0.00574725	0.03910105	0	0.2002219	0	0	0.15398175	0.030628	0.0074647	0	0	0.06517525	0	0.1155128	0	0.0616328	0.0068978	0.10201325	0	0	0.01415545	0.0161365	0.0395728	0.0841515	0.00986005	0.0773048	0.13456675	0.0196382	0.0082482	0	0.07202115	0.06858225	0.11654205	0.02005055	0.0125491	3.46e-05	0.04755365	0	0	0.02653095	0	0.1103643	0.00969065	0	0.03353615	0.00012165	0.0097807	0	0.0070281	0	0	0	0	0.0018087	0	0.0004719	0.0278569	0.07162845	0.05379	0.07836205	0	0.01363755	0	0	0.4476822	0.0762444	0	0	0.00644145	0	0.05921485	0.0595245	0	0.1388784	0.16322935	0.3298067	0.0230101	0.0366346	0.0149008	0.0152778	0.0155636	0.043883	0.0453392	0.13036005	0	0.0232964	0.11441875	0.01798765	0.3019323	0.289406	0.0885991	0.0335819	0.18708095	0.0668432	0.1200142	0.00156	0	0	0.04835165	0	0	0.0019671	0	0.0710294	0.04153985	0	0.019308	0.17592625	0.03035985	0	0.0008631	0	0.03081505	0.04099885	0.042702	0.0521083	0.01319475	0	0.0445441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0975504	0.04500475	0.10009275	0.01161475	0.15820825	0.0225275	0.18227805	0.2564567	0.6006187	0.0767682	0.4186649	0.126175	0.00073675	0	0.00147425	0.5138267	0.0435218	0.10625215	0.1820162	0.03149635	0.1771735	0.22659245	0.0955144	0.0503531	0.27846725	0.15512305	0.31637005	0.08676215	0.2468447	0.22147255	0.1082928	0.1613491	0.4183079	0.0842263	0.1277247	0.12439035	0.05867255	0.0667839	0.01347315	0.17199295	0.25840595	0.34188035	0.0553115	0.0141143	0.1161868	0.0785946	0.09688055	0.15258795	0.01147515	0.157033	0.22292045	0.19621675	0.1165672	0.31555955	0	0	0.00659705	0.00637045	0.5467813	0.29058515	0.10098165	0.1484639	0.15367725	0.1882548	0.03646785	0.0812762	0.16245475	0.00552265	0.259084	0.1589634	0.1591647	0.04315365	0.16805755	0.12516785	0.18153245	0.453855	0.17620985	0.4124927	0.13857525	0.0820227	0.1379988	0.04257995	0.42983	0.02158935	0.05866925	0.08375255	0.01057565	0.0228101	0.03016925	0.04220345	0.015403	0.1809471	0.0598137	0.31078075	0.32657895	0.3500546	0.14760825	0.11207245	0.2672542	0.171487	0	0.2694025	0.490037	0.64956745	0.0115501	0.1588187	0.0640427	0.6479707	0.2730621	0.0637536	0.018619	0.0675425	0.1015306	0.0846326	0.1245644	0.167384	0.1093055	0.1006661	0.0096995	0.0386442	0.18127675	0.2520857
