# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97364	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	6.69979	0	0.18503	0.05265	1.56222	0	0	0	0	0	0	1.94902	1.74795	0	0.00135	0.54351	0.04924	0	0.13158	0.07979	0.21198	0.16424	0.10784	0.0849	0.25079	1.11326	0	0.11215	0	0	0.54326	0	0.32071	5.48969
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25164	0	0.1623	0	0.00148	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	10.16055	0.04241	0.00103	0	8.8679	0	0	0	0.01272	0	0.01258	0	0	0	0.29824	1.35256	0	0	0.09749	1.15331	0	0	0	0.00798	0	10.02399	0.84187	0.04518	0	0.00651	8.93403	0.10484	0.00578	4.27003
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus	0	0	0	0	0	0	0	0	0	1.22251	0	0	0.59183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	7.07463	0.16766	0.93743	0	1.33369	0.47434	0.03008	0	0.04469	0.02378	0	1.29058	2.25658	0.00503	1.18696	0.33514	1.33438	0	0.06793	1.61301	0.60285	0.2987	0.18582	1.05931	0.27171	3.1646	0	1.39927	0.02589	0.01416	0.62531	0	0.26341	2.72936
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3775	0	0	0	0	0.00517	0	0	0	0	2.51157	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0.01865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16059	0	0	0	0	0	0	0	0	0	0	0	0	0
