# Constructed from biom file																																																																																																																										
#Sample ID	AF001	AF002	AF003	AF004	AF005	AF006	AF007	AF008	AF009	AF010	AF011	AF012	AF013	AF014	AF015	AF016	AF017	AF018	AF019	AF020	AF021	AF022	AF023	AF024	AF025	AF026	AF027	AF028	AF029	AF030	AF031	AF032	AF033	AF034	AF035	AF036	AF037	AF038	AF039	AF040	AF041	AF042	AF043	AF044	AF045	AF046	AF047	AF048	AF049	AF050	AF051	AF052	AF053	AF054	AF055	AF056	AF057	AF058	AF059	AF060	AF061	AF062	AF063	AF064	AF065	AF066	AF067	AF068	AF069	AF070	AF071	AF072	AF073	AF074	AF075	AF076	AF077	AF078	AF079	AF080	AF081	AF082	AF083	AF084	AF085	AF086	AF087	AF088	AF089	AF090	AF091	AF092	AF093	AF094	AF095	AF096	AF097	AF098	AF099	AF100	AF101	AF102	AF103	AF104	AF105	AF106	AF107	AF108	AF109	AF110	AF111	AF112	AF113	AF114	AF115	AF116	AF117	AF118	AF119	AF120	AF121	AF122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0	0	0.149245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341735	0	0	0	0	0	0.1561	0	0	0	0	0	0	0	1.177615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.379965	0	0	0	0	0	0	0	0	0	0	0	13.817675	0	0	0	0	0	0	0	0	0	0	4.57392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_propinquum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.777585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.919485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.198815	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudodiphtheriticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	1.212575	0	0.502575	0	1.370575	0	0	1.102985	0	0	0	0.031665	0	0	0	0	0	0.13015	0	0	0	0.20826	0	0.377235	1.474675	0	0.27173	0.760745	1.325675	0.548465	0	1.845485	0.22557	0	0	0.148755	0	0.234575	0.051475	0	0	0	0	0	0	0.55865	0	0.73177	0.10083	0.1272	0	0.58229	0	1.319035	0	0	0	0	0	0	0	0	0.109755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26179	2.420615	0	0	0	0.58641	0	0	0	5.71907	0	0	0	0	0	0	0	0	0	0	0	0.336005	0	0	0.44581	0	0	1.527665	0	0	0	0	0	0	0	0.35701	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	1.62659	0	0.49275	0.00649	1.04122	0	0	0.622035	0	0	0	0	0	0	0	0	0	0.404275	0	0	0	0.266915	0	0.06245	2.13796	0.14581	1.927945	0	1.76118	0.7278	0	1.999605	3.05628	0	0	0.49301	0	0.205245	0.058735	0	0	0	0	0	0	0.815625	0	1.083725	0.11833	0.18889	0	0.18906	0	1.177945	0	0	0	0	0	0	0	0.53642	0.65376	0	0	0.03398	0	0	0	0	0.109925	0	0	0	0	0	0	0	0	0.379685	2.020575	2.85406	0	0	0	0.54572	0	0	0	4.5272	0	0	0	0	0	0	0	0	0	0	0	0.61101	0	0.710735	0.36797	0	0	0.806435	0	0	0	0	0	0	0.1745	1.236595	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Turicella|s__Turicella_otitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.013785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02161
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_paraconglomeratum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_unclassified	0.529655	0	1.16133	0	0	0	0	0.27637	0	0	0	0	0	0	0	0	0	0	0	0.167385	0	0	0	0.06015	0	0	2.817205	0	0.43798	0	0	0.527035	0	0.49069	0	0	0	0	0	0	0	0	0	1.290095	0	0	0	0.78934	0.05023	0	0	0	0	0	0	0	0	0	0	0	1.609475	1.21875	0	0	0	0	0	0	0	0	0	0.254885	0	0	0	0	0	0	0	0	0	1.485845	1.3655	0	0	0	0	0	0.844455	0.550385	0	0	0	0	0	0	0	0	0	0	0	0.137175	0	0	0.23317	0.587215	0	0	0	0	0	0	0	0	0	0.54678	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermacoccaceae|g__Kytococcus|s__Kytococcus_sedentarius	0	0	0.454675	0	0	0	0	0.50768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
